no	tarih	baslik	durum	iliski	kaynak
516	2026-08-19	Rutin tetiklenen guard kabul edilmez — beklenen WARN, WARN'ların okunmayı bıraktığı andır	KALICI	←278 · ↔495	2026-08.md#k516
517	2026-08-19	Yüzen WhatsApp butonu footer görünürken çekilir — IntersectionObserver + `.gizli`, süre `--duration-base`, daimî silik reddedildi	AKTIF	←212	2026-08.md#k517
518	2026-08-19	Bot hattı ve yasal telefon iki ayrı yüzeydir, eşitlenmez — numara değişimi hedef yüzeyi adlandırmak zorunda	KALICI	←213 · ←396	2026-08.md#k518
519	2026-08-19	Onaylı display name bırakılmaz — Meta onayı kıt kaynak; adın daralttığını metin katmanı telafi eder	KALICI	←410	2026-08.md#k519
520	2026-08-19	WABA profil alan kanonu — ad ne taşırsa Hakkında tekrar etmez; URL/e-posta ayrı alanda; adres il düzeyi	KALICI	←403 · ↔57	2026-08.md#k520
521	2026-08-19	İkinci hat (…0888) display name başvurusu "Ocak Kadın Topluluğu"; Plan B "Ocak Türkiye"	AKTIF	↔519 · ←410	2026-08.md#k521
522	2026-08-19	Marka işareti — Cormorant "O" + iç kor; outline harf, filtresiz gradyan, `nonzero` dolgu	KALICI	←35 · ↔513	2026-08.md#k522
523	2026-08-19	Başlığı kim üretiyorsa markayı da o koyar — Sayfalar Notion'dan, Etkinlikler ve sabit sayfalar çağrı yerinden	KALICI	←354 · ↔515	2026-08.md#k523
524	2026-08-22	Secret tek kaynağı Railway env — workflow Secrets node'ları boş, her tüketiciye kendi Notion token'ı	KALICI	←469 · ↔534	2026-08.md#k524
525	2026-08-22	Sessiz kırılma yasağı — eksik bağlam `throw` eder, kısmi yazım yapılmaz	KALICI	←102 · ↔524	2026-08.md#k525
526	2026-08-22	Oturum sınırı — `Geçmiş Oku` yalnız altı saatlik pencere; sıfırlama komutu eklenmez	AKTIF	←254 · ↔527	2026-08.md#k526
527	2026-08-22	Cache disiplini — kalıcı kural `ortak` bloğa; `ortak` iki kanalda birebir aynı	KALICI	↔530	2026-08.md#k527
528	2026-08-22	`ocak_etkinlik_detay` budaması yazımın ardına bağlanır — yazım başarısızsa budama da olmaz	AKTIF	↔525	2026-08.md#k528
529	2026-08-22	Telefon eşleşmesi formattan bağımsız — Notion'a filtre gitmez, son on hane JS'te karşılaştırılır	KALICI	←255	2026-08.md#k529
530	2026-08-22	Kanal beyanı zorunlu — her kanalın `kisisel` bloğu hangi kanal olduğunu yazar, çıkarım bırakılmaz	KALICI	↔527	2026-08.md#k530
531	2026-08-22	Yeterlilik kuralı — katılım detayı eksikse yarım cevap değil devir; geçmişe gerçek durum yazılır	KALICI	←254 · ↔532	2026-08.md#k531
532	2026-08-22	Kriz hattı — WhatsApp ve mail birlikte, bağımsız try/catch; bot kriz anında süre söylemez	KALICI	←57 · ↔531	2026-08.md#k532
533	2026-08-22	Devir kutusu Kaan'da — `devir@ocak.biz` grubu kurulmaz, Gmail yönlendirme kullanılır	AKTIF	↔532	2026-08.md#k533
534	2026-08-22	Sistem maili gönderen adresi `sistem@mail.ocak.biz` — `onboarding@resend.dev` terk edildi	AKTIF	↔524	2026-08.md#k534
535	2026-08-22	Davet akışı geçici olarak kapalı — `DAVET_AKISI` varsayılan kapalı, lansmandan önce açılmalı	AKTIF	←488 · ↔271	2026-08.md#k535
536	2026-08-22	Sohbet paneli `OCAK · Panel` — Postgres'ten okur, tek dosyalık HTML döner, `panel.ocak.biz`; sıfır commit	AKTIF	↔540	2026-08.md#k536
537	2026-08-22	KARAR 535 gevşetildi — davet akışı üç şart beklemeden açıldı; şartlar borç olarak sürer (B132)	AKTIF	←535 · ↔488	2026-08.md#k537
538	2026-08-22	Instagram kanalı açıldı — engel App Review değil app'in yayınlanmamış olmasıydı; Standard Access yeterli	AKTIF	↔539	2026-08.md#k538
539	2026-08-22	IG konuşma penceresi WA ile hizalandı — `gecmis_saat` IG sorgusuna eklendi, `ilkTemas` koda alındı	AKTIF	←526 · ↔538	2026-08.md#k539
540	2026-08-22	Panel fiyat ve kur `ocak_gizli`'de — beş anahtar, sunucu tarafında beyaz liste, deploy gerekmez	AKTIF	↔536	2026-08.md#k540
541	2026-08-22	Bot adı "Ocak Kadın Topluluğu" — "Çember" bot adına girmez (KORUNACAK İFADE #8); uygulanmadı	ONERI	↔521	2026-08.md#k541
542	2026-08-23	Kurucu görsel mühürlendi; MJ motoru `--v 8.1`'e kilitlendi — `--sref` çapası tek kaynak	AKTIF	←450 · B114 kapandı	2026-08.md#k542
543	2026-08-23	Kart köşe imzası nokta değil OCAK işaretidir — kart genişliğinin %7'si, opaklık 0.85, yatayda ortalı	AKTIF	↔544 · ↔B105 · `30-sosyal.md` Bölüm 5 nokta kuralını geçersiz kılar (kural numarasız, supersede oku yok)	2026-08.md#k543
544	2026-08-23	İmza ışığın karşı ucunda durur; konum zemin tipinden çıkar — fotoğraflı zeminde metnin üstünde, glow zeminde kart dibinde	KALICI	↔543	2026-08.md#k544
545	2026-08-23	Söz kartı metni iki kademelidir: iddia büyük, fısıltı ana puntonun 0.62'sinde	AKTIF		2026-08.md#k545
546	2026-08-23	Fotoğrafsız kart zemini tasarımdır, yedek değil — kömür zemin + metin merkezine kilitli kor glow	AKTIF	B86 kapandı	2026-08.md#k546
547	2026-08-23	Kayıt sınırı formatın değil bloğun cinsine göre — anlatım ve uygulama kaydedilir, kadın kadına paylaşım kaydedilmez; kayıt varlığı etkinlik başına DB alanında tutulur	KALICI	↔57	2026-08.md#k547
548	2026-08-23	Unvan yasağı betimlemeyi kapsamaz — `cacaoista` Türkçe betimlemenin açıklayıcı eki olarak geçebilir; tek başına unvan olarak kullanılmaz	KALICI	←506	2026-08.md#k548
549	2026-08-23	Etkinlik sayfası akışı, hazırlığı ve mahrem soruları kamuya açmaz — hazırlık gerektiren formatlarda `Yanına Al` işaretçiye iner, beslenme/ilaç/hamilelik kayıt sonrası kanala taşınır	KALICI		2026-08.md#k549
550	2026-08-23	Notion text property'sine yazım cerrahi değildir — gövde önce kabukta kurulur, `python3 len()` ile ölçülür, yazılır, geri okunan uzunluk beklenenle karşılaştırılır	KALICI	B150 (skill'e yazımı)	2026-08.md#k550
551	2026-08-23	Çember Lideri → Çember Rehberi — hiyerarşi kaldırıldığı için ad değişti; rolün içeriği ve K4 yapısı aynı	KALICI	Pilot borç 25 T3 kapandı · B160 kapandı	2026-08.md#k551
552	2026-08-23	Zemin dosya adı karta değil zemine bağlanır — `ocak-zNN-slug-YYYY-AA-GG.png`; kart numarası ve MJ iş kimliği dosya adına girmez, eşleme `31-zemin.md`de yaşar	AKTIF	B169 · B170	2026-08.md#k552
553	2026-08-23	Kısaltma yeniden adlandırması `İn` → `Cn` (içerik), `Pn` → `Vn` (görsel) — canlı ileriye bakan dosyalarda; kronoloji, arşiv ve kapanmış borç kalemleri dokunulmaz	AKTIF	↔219 · B171	2026-08.md#k553
554	2026-08-23	Bir karta varlık atamadan önce `03-sira.md` ve `02-borclar.md` salt-okunur — kalem kapanmışsa yeni atama yapılmaz	AKTIF	←102	2026-08.md#k554
555	2026-08-24	Kart, prompt ve zemin jetonları sıfır dolguludur — `C01`–`C24`, `V01`–`V09`, `z01`–; homograflar dolgusuz kaldığı için biçim ayrıştırır	AKTIF	←553 · B171 kapandı	2026-08.md#k555
556	2026-08-24	Karusel zemini yüzey olur, nesne olmaz — crop çalışsın diye zemin karenin her yerinde sürmeli; kapı/mum çemberi/pencere gibi nesne zeminler karusele verilmez	AKTIF	B172 · B173	2026-08.md#k556
557	2026-08-24	Sert kapı ölçütü yöntemiyle birlikte yazılır — bloke edici bir ölçüt koyan brief ölçümün komutunu ve bir sanity testini de yazar	KALICI	←470	2026-08.md#k557
